|invoiceId|custId|batchId|item_summary.paper|item_summary.rock|item_summary.scissor
103|740468|p738|um425|28.0|15.0|38.0
104|974237|z049|na170|38.0||
105|93703|z690|jw955|18.0||
106|672468|g695|xk892|||17.0
107|615403|t486|pc854|9.0|40.0|29.0
108|704710|u550|xd830|||29.0
109|144365|e412|dj258|23.0|29.0|17.0
110|399253|e415|mp754|5.0||
111|645285|h886|wk581|9.0|7.0|
112|963105|m356|qx596|||2.0
113|373849|x955|zk254|||23.0
114|895620|t806|cd937|||7.0
115|853702|m105|nv848|16.0||
116|170445|b924|qw926|46.0|18.0|49.0
117|50743|z460|as138||35.0|13.0
118|579302|x454|xv662|35.0|49.0|
119|117482|o544|nj967|1.0|33.0|
120|903227|e568|nb569||11.0|29.0
121|55103|w909|fz981||1.0|3.0
122|298547|i432|qp899|||33.0
123|583929|i903|wn254||9.0|
124|753971|d363|cu002||37.0|
125|70597|f135|gs794|49.0||49.0
126|45685|l494|gh972||4.0|44.0
127|752712|z217|si749|||42.0
128|836608|d888|es732|||33.0
129|773127|i140|bl560|39.0|12.0|
130|140746|x910|rk945|10.0|23.0|33.0
131|651221|e382|eb817|41.0|1.0|
132|362154|j310|fu806||16.0|37.0
133|233598|s589|dj258|12.0|49.0|11.0
134|848300|r560|ki716||27.0|
135|678897|v018|dq899|42.0|34.0|29.0
136|872002|s142|ir438|12.0||
137|592740|y311|ch969||17.0|9.0
138|648631|q468|db311||48.0|
139|383562|r611|xv318|50.0|22.0|
140|492377|w521|se745|29.0||
141|108350|n520|xz250|21.0|29.0|30.0
142|94259|i044|pa627|||13.0
143|949045|f925|pc700|40.0||46.0
144|831615|j211|df591|22.0||23.0
145|708085|z708|zf574|1.0|27.0|15.0
146|606288|a125|kz687||19.0|32.0
147|965493|h037|mv747|41.0|47.0|10.0
148|153269|u509|de790||17.0|
149|596801|l441|ef602|||46.0
150|732863|m676|dg889|33.0|14.0|9.0
151|770610|d395|ue660||1.0|
152|167284|f118|zl173|16.0||
153|126419|z460|uv258||13.0|21.0
154|45158|x425|ou301|50.0|38.0|
155|674218|x864|iz544|29.0||20.0
156|490410|e359|mu445|49.0|28.0|
157|666397|a843|lh332|||34.0
158|661311|t545|oj992|17.0|36.0|12.0
159|404763|o291|dt005|24.0|21.0|27.0
160|108053|m357|zh415||17.0|
161|403738|c429|dy869|50.0||43.0
162|980280|q827|bu890|||17.0
163|738390|s142|dg739||38.0|48.0
164|451123|z401|ir978||42.0|
165|31958|p774|ol368|50.0|18.0|34.0
166|51013|k666|no734||24.0|
167|926692|o576|nc838||19.0|11.0
168|209065|o559|ez631|4.0||32.0
169|476067|h074|af955|35.0|7.0|
170|457686|v663|bj045|17.0|36.0|31.0
171|272722|q284|ry891|33.0|28.0|
172|499504|i563|ok417||32.0|
173|274084|r522|bu305|31.0||10.0
174|933303|s985|zl715|2.0||11.0
175|383296|i671|bu939||26.0|13.0
176|686754|t953|zr408|||39.0
177|885745|t504|fd424|27.0|12.0|
178|298854|c001|yu901|||4.0
179|869145|r762|bc436|50.0|44.0|49.0
180|900920|a319|tm685|||17.0
181|309237|k094|uz320|38.0|7.0|46.0
182|502848|a839|lu985||10.0|7.0
183|439895|f135|rb489|28.0|50.0|8.0
184|223966|n728|ub400||44.0|45.0
185|253282|m700|of473|12.0||11.0
186|685196|h478|pn518||38.0|1.0
187|622298|v010|mq478|31.0|31.0|
188|843678|g208|bt334||29.0|13.0
189|211263|v663|um432||5.0|
190|197532|s620|wv425|43.0|8.0|
191|485174|a493|cs810||12.0|
192|997200|g858|yh396|29.0|5.0|38.0
193|349877|z014|fp505|1.0|14.0|
194|418219|t278|xv305||6.0|
195|882888|j350|hd664|45.0|21.0|2.0
196|416198|i163|po184|21.0|28.0|41.0
197|332478|r026|wq512|18.0|7.0|19.0
198|21060|k120|xv832|13.0|41.0|30.0
199|537824|c983|uf825||28.0|
200|113977|y506|bq453|2.0||46.0
201|183657|l143|gy983|15.0||
202|442259|k135|pq115||38.0|1.0
203|456800|v139|pi752|||16.0
204|761424|a033|hu350|20.0|11.0|47.0
205|244702|y078|pf087|38.0|34.0|
206|802119|p392|ui092|48.0|15.0|6.0
207|334744|z953|oe361|29.0|40.0|
208|16490|z460|uj891|45.0||43.0
209|135343|c970|sx987|42.0|3.0|35.0
210|146257|x860|yy724|||8.0
211|595948|n709|yd056|47.0|17.0|
212|682484|g836|ol215|25.0|10.0|4.0
213|325232|d316|ub270|39.0|20.0|17.0
214|537790|x826|ut681|3.0|48.0|
215|71086|v785|xy589|11.0||
216|501907|c982|tm685||5.0|
217|192548|m105|qz768|45.0|5.0|47.0
218|570892|u224|bu486|29.0|10.0|
219|121342|h236|qz042|35.0|34.0|32.0
220|274770|l468|ha014||26.0|
221|11131|n852|lb371|12.0|45.0|14.0
222|689182|d186|mx141|||26.0
223|236822|d239|tx967|30.0|29.0|7.0
224|79344|t201|aw745|24.0|8.0|38.0
225|551951|s755|bm448|15.0||
226|406192|v412|vo186|11.0|24.0|7.0
227|421164|z768|ix945||19.0|33.0
228|273376|h250|za947|32.0|28.0|12.0
229|910022|i044|fz800||41.0|39.0
230|689696|i398|my494|12.0||18.0
231|725170|o151|ju481|35.0|1.0|17.0
232|138140|p880|ol215|37.0||
233|134967|l098|cl952||39.0|
234|213222|a921|rq503|47.0|38.0|
235|268948|w295|lz667|30.0||25.0
236|39889|d133|cz377||27.0|47.0
237|431179|x295|xp782|46.0|17.0|
238|424164|d239|sf834|12.0||35.0
239|633118|x446|cu210|49.0||24.0
240|366083|a210|gj318|29.0|3.0|39.0
241|794003|y438|sw370|34.0|42.0|14.0
242|844248|f346|vu477|10.0|49.0|20.0
243|634068|z460|ny289|31.0|9.0|
244|467166|n144|py642|||49.0
245|204266|t201|in474||7.0|
246|448254|b296|do997|40.0||45.0
247|881514|d186|mo774|1.0||
248|150062|l143|aw735|29.0|42.0|
249|386562|k247|ks883|||41.0
250|137476|r611|jp941|28.0|38.0|
251|284565|x439|bc436||13.0|
252|23192|l438|nu283|48.0||
253|656902|q284|ty146|35.0|12.0|9.0
254|650305|b924|ub638||36.0|
255|426166|o659|nj548|||26.0
256|201995|z298|mx431|||49.0
257|344451|i362|we334|46.0|27.0|43.0
258|514473|a176|pw569|12.0||
259|380711|r611|pu650|15.0|1.0|41.0
260|683368|a672|dm499|40.0|20.0|21.0
261|566922|w942|rl266|19.0|20.0|41.0
262|975456|x841|wb491|2.0|11.0|23.0
263|309695|b920|uf348|11.0||29.0
264|512890|w415|kh156|||28.0
265|947425|b349|nc086|28.0||
266|371012|g463|sd117||10.0|42.0
267|252821|r621|sg358|||43.0
268|395471|y335|cz972|25.0||
269|842743|m041|ki182|40.0|18.0|
270|423424|z457|pe984|28.0||
271|71636|h748|jw955|31.0|16.0|3.0
272|491816|t366|zq138|26.0||12.0
273|896819|m962|jb239|23.0||7.0
274|764713|c996|qx983|32.0|32.0|
275|811462|y602|vg243|3.0|14.0|5.0
276|498606|z340|wt375|||13.0
277|175859|e216|hm429|48.0|4.0|23.0
278|426696|c795|xd407|31.0|31.0|21.0
279|784316|v018|nn328|31.0|48.0|38.0
280|314260|c970|xc618|||5.0
281|613475|k120|hi463|4.0|39.0|11.0
282|413004|h083|oi586|16.0|36.0|
283|696845|i958|hn560|1.0|50.0|
284|477538|j084|zh239|48.0|34.0|24.0
285|669113|d467|bi768|50.0||
286|297909|s176|kw492||22.0|50.0
287|520422|v488|ig799||37.0|9.0
288|355944|f421|hd664|40.0|27.0|5.0
289|547874|f745|oy141|25.0|27.0|49.0
290|445567|o945|bs848|46.0|15.0|37.0
291|895049|g207|ki360|10.0||
292|604314|p241|uw250|||3.0
293|251611|o250|al518|21.0||34.0
294|81117|k380|ks811|40.0|20.0|15.0
295|421937|n709|qn505|28.0||
296|943444|w676|jc624|3.0|21.0|45.0
297|959913|t203|ps360||6.0|40.0
298|921351|v139|tf754|48.0||
299|864009|t404|vl770|15.0|4.0|47.0
300|629574|a354|jb291|37.0|47.0|18.0
301|636594|i635|sw370|7.0|14.0|
302|469592|i318|fk006|25.0|39.0|
303|749371|j312|rm938|28.0|49.0|
304|628661|q732|za039|5.0|44.0|34.0
305|695135|r522|vx130|45.0||
306|283269|v442|ts953|39.0||
307|557540|a125|ih681|15.0|35.0|43.0
308|469266|g836|cu670|38.0|31.0|
309|611251|k059|ch143||18.0|5.0
310|480194|t806|xb516|||9.0
311|793547|z938|km921|23.0||
312|465721|e059|ti835||8.0|15.0
313|922060|f739|zw761|12.0|13.0|
314|171327|s600|nb569|39.0||
315|181984|f625|sl996|49.0||
316|303624|i635|nv145|21.0|27.0|
317|590468|n876|ov717|13.0|17.0|49.0
318|784257|d239|nz615|29.0|27.0|49.0
319|554876|q342|cc685|36.0|9.0|7.0
320|103433|h989|bz339|38.0|50.0|
321|177196|h986|mq478|7.0||
322|516595|x912|ap430|40.0|18.0|1.0
323|326407|w230|nb732|34.0||26.0
324|172927|j435|al562|11.0|46.0|14.0
325|872615|w884|an647|49.0|36.0|46.0
326|933207|a120|gq352|36.0|50.0|32.0
327|587219|y145|jx570|23.0|23.0|36.0
328|865820|k666|eo832|12.0|30.0|22.0
329|18193|k457|cc612|15.0|38.0|
330|858161|p168|gt507|46.0||
331|613561|h818|cl952||42.0|
332|402913|n479|wh047|44.0||
333|607218|o771|nz615||48.0|
334|309971|s268|ak745|15.0||
335|556226|q468|lp473||47.0|
336|821814|k973|fv898||23.0|7.0
337|698365|x597|wg026|40.0||12.0
338|228114|j475|qs103|||45.0
339|440047|w967|fu927|47.0||42.0
340|255693|d933|bz570|||17.0
341|155430|a863|tr970|7.0||
342|580893|h074|hx411|14.0|27.0|
343|419820|v488|do569|9.0|43.0|24.0
344|370997|e568|cd937|23.0||
345|841940|v974|bt334|||41.0
346|178412|j138|kf604|48.0|49.0|16.0
347|982731|t256|yv232|18.0||25.0
348|253766|w888|rx048|46.0||
349|433577|k226|qa882|19.0|44.0|13.0
350|782102|e094|ry328||5.0|
351|269376|e252|km282|20.0|4.0|25.0
352|855256|j211|yo264|47.0|30.0|32.0
353|641339|z217|ji280|||36.0
354|750217|x883|hi319|39.0||46.0
355|459626|r139|nv446|23.0|34.0|28.0
356|608284|w572|mo774||31.0|21.0
357|901663|d933|kf604|32.0|27.0|44.0
358|765014|l767|jq430|25.0|40.0|
359|399292|j907|jq934|26.0|4.0|27.0
360|237426|l441|vj313||5.0|
361|762199|h989|hl280||33.0|8.0
362|653230|j400|oc460|20.0|49.0|19.0
363|531077|d239|zk670|||5.0
364|970859|s099|rq047|||12.0
365|104081|m504|oh225|42.0|12.0|37.0
366|765560|v625|oy747|43.0||41.0
367|363339|q299|if867|14.0||
368|332445|r026|hg425|31.0||
369|7418|l955|bk939|||23.0
370|442929|q453|wj081|39.0|38.0|14.0
371|242554|w676|fb005|41.0|30.0|
372|625501|o084|hm415|17.0|4.0|32.0
373|602289|q398|ye802|22.0|37.0|47.0
374|586228|u550|nh519|34.0|49.0|23.0
375|487632|p613|mi623|26.0|44.0|8.0
376|426499|j310|yk602||49.0|
377|105348|s709|iu815||29.0|35.0
378|345001|d135|zp511|9.0||1.0
379|404060|k666|ih859|28.0|2.0|35.0
380|615256|r026|xh071|11.0||45.0
381|714811|o905|gu450||9.0|44.0
382|203860|o835|ux701|45.0||
383|969775|z014|jm650|46.0||45.0
384|307396|f923|hh557|||13.0
385|132923|o536|jf446|13.0|9.0|25.0
386|845588|k711|xw595|49.0||35.0
387|393001|o659|lb371|33.0|31.0|43.0
388|881711|c877|oz752|36.0|15.0|
389|390813|q257|if065|20.0|44.0|
390|700871|c263|zp324|8.0||
391|768956|w572|cx865|6.0||
392|198958|x597|fg056|||13.0
393|164626|i424|yh292|16.0|20.0|47.0
394|303579|n625|sb220|29.0||8.0
395|613747|p927|mo774|48.0|30.0|6.0
396|911224|z561|fe637||36.0|6.0
397|274679|q783|tr636|41.0||
398|604280|j800|fi548|18.0|24.0|
399|474265|w074|hf691|34.0|36.0|24.0
400|4804|z601|iw983|48.0|25.0|43.0
401|940452|l285|mu971|21.0||
402|529024|f436|pc277|25.0|20.0|7.0
403|928297|u191|id221||49.0|
404|702965|t896|as271|25.0|41.0|
405|572499|g545|lj837|4.0|31.0|49.0
406|531647|b070|zo165||10.0|
407|145441|f432|gu450|31.0|50.0|13.0
408|555310|i233|qr617||26.0|
409|748095|z434|yh396||37.0|
410|269888|z298|ki182||42.0|
411|86863|y741|se078|28.0|44.0|10.0
412|491541|d479|ds803|50.0||
413|110|u425|no518|46.0||50.0
414|906958|z768|kg193|||5.0
415|445694|m053|oy534|46.0|41.0|14.0
416|161167|r282|in474|||12.0
417|361650|r535|jx570||35.0|46.0
418|430995|y651|re368||28.0|
419|554193|r313|or138|44.0|3.0|
420|414209|d833|xs543|23.0|1.0|36.0
421|531320|i432|ki823||6.0|44.0
422|434734|i432|wq981||27.0|17.0
423|893370|k925|sz118||3.0|15.0
424|679326|x996|zw403|7.0||26.0
425|360072|l742|qs103|39.0|38.0|38.0
426|352254|o185|im878|||21.0
427|636698|u644|rt187|12.0|33.0|38.0
428|854297|r599|qz768|15.0|24.0|
429|345699|d133|hx411|36.0|40.0|3.0
430|586162|q665|zj434|38.0||4.0
431|486866|t989|ti853||49.0|
432|707548|j312|jz512|18.0|10.0|39.0
433|265013|f713|aa521|16.0|38.0|
434|351513|o226|me708||45.0|21.0
435|672843|s270|qp015|21.0|41.0|18.0
436|408722|s889|nr626|36.0|43.0|41.0
437|524193|q173|so642|30.0|38.0|21.0
438|402441|k891|mq248|||41.0
439|297008|m963|nc984|23.0|13.0|40.0
440|843011|d008|mt154|32.0||34.0
441|744750|n001|rt187||10.0|
442|721685|q284|mm478||41.0|
443|51614|a837|es732|22.0|41.0|43.0
444|413538|k260|yf580||7.0|46.0
445|523225|z419|fy612||36.0|16.0
446|342704|j028|er733||37.0|
447|684785|e998|ch071|||8.0
448|669781|e415|ib672||21.0|
449|859961|o440|ec298|28.0|18.0|33.0
450|264132|c629|gf086|2.0|28.0|37.0
451|743198|p865|zu673|37.0||42.0
452|850526|d052|do226|23.0||7.0
453|886746|x929|yt643||34.0|1.0
454|861738|e003|sb713|33.0||25.0
455|824505|r541|wn254|11.0|23.0|47.0
456|564726|g730|tq382||42.0|46.0
457|51941|j655|ao137||49.0|43.0
458|895554|e389|up072|9.0||
459|371004|h986|qf074|3.0|39.0|36.0
460|772790|q342|fo002|18.0|41.0|48.0
461|355552|o413|mi486|||34.0
462|207016|a030|vo513|9.0||
463|130384|o580|kh156|13.0||5.0
464|522892|w850|zd493|21.0||26.0
465|575718|f744|yq847||11.0|
466|399631|l041|zx601||47.0|
467|528008|d541|wc546|8.0||19.0
468|174860|j951|tm882|42.0|5.0|36.0
469|488979|g172|pa758|||20.0
470|152850|k320|od707|46.0|4.0|46.0
471|796258|s321|fg900||42.0|41.0
472|692080|j612|zy614|2.0||1.0
473|977688|t400|dt447|37.0|43.0|1.0
474|846712|f490|vl770|19.0|49.0|
475|712996|q880|ni562|13.0||10.0
476|248706|t812|cc612|29.0||47.0
477|468247|c996|tx329|48.0||39.0
478|731640|h338|it678||14.0|21.0
479|657424|z613|cl778|50.0|35.0|20.0
480|201684|f895|kz535|17.0|9.0|46.0
481|73047|w850|dn162|46.0||12.0
482|493232|s967|ab176|16.0||38.0
483|838272|j612|db470|15.0|14.0|36.0
484|745760|r762|zm929||16.0|10.0
485|851857|f319|cp662|44.0|15.0|37.0
486|159666|x955|yy724|6.0|15.0|2.0
487|351323|x095|uq848||43.0|
488|39690|w743|ae098|35.0|37.0|41.0
489|557831|z690|qo829||29.0|
490|894592|p392|yr667|35.0|42.0|2.0
491|646454|u254|jf265||40.0|
492|778187|i767|nz615|16.0|50.0|41.0
493|631307|e480|bq723|11.0||
494|606317|h607|ex987|44.0|10.0|28.0
495|171856|w521|yb821|2.0|10.0|35.0
496|717108|s142|hh488|20.0||
497|576559|e059|gi094|9.0|8.0|48.0
498|783434|b115|hm429|32.0|23.0|
499|925743|r139|tc933|26.0||
500|839048|i217|le901|31.0||
501|333891|z051|xd539|30.0||31.0
502|91732|t165|bk939|42.0|29.0|18.0
503|318817|j197|lh251|4.0|29.0|13.0
504|558065|b059|ap430|50.0|14.0|17.0
505|261207|t545|cu018|1.0|4.0|
506|982076|x368|fe058|22.0|6.0|40.0
507|355808|q665|bx858|29.0|17.0|23.0
508|821405|o945|cn859||13.0|
509|693|v229|mq248|20.0||
510|252641|v515|fm291|35.0||48.0
511|173868|y311|mg938|42.0|47.0|21.0
512|762728|n144|kx099|7.0||
513|638290|g991|el075|21.0|48.0|
514|745657|m273|yr341|16.0||38.0
515|206631|r470|fu215|||7.0
516|220660|x621|jp941|33.0||
517|827119|n293|cu833|27.0|24.0|50.0
518|548979|z226|xh071|22.0||
519|514674|q473|yq079|||9.0
520|96052|v139|hj325|40.0|47.0|3.0
521|759983|h975|km134||46.0|17.0
522|122961|b632|lq096|20.0||24.0
523|233782|r005|jp501|42.0|15.0|
524|654293|x368|gh972|18.0||
525|895958|j370|dm499|||48.0
526|48828|h236|of473||6.0|38.0
527|796534|t806|sx826|13.0|17.0|32.0
528|456849|y794|sa823|24.0|45.0|
529|779700|o097|um432|49.0|2.0|49.0
530|474038|u265|yg887||24.0|11.0
531|639099|d316|vm792|32.0|49.0|
532|862313|d665|ps794||25.0|26.0
533|89763|w642|fz981|33.0|20.0|28.0
534|455108|s589|ts339||39.0|
535|923742|s321|gl375|4.0||
536|528806|k738|bb988|24.0|42.0|43.0
537|343452|o322|sa864|20.0||17.0
538|286733|r535|lu985|4.0||
539|155669|i839|zw403||15.0|38.0
540|205535|c727|dt223|||11.0
541|801452|y121|td870|||29.0
542|908258|s317|ei933|||50.0
543|208327|v785|ju808|30.0|11.0|8.0
544|670988|c975|hc254|4.0|26.0|9.0
545|207946|l163|uf825|19.0||
546|706254|o771|xa928|28.0|22.0|29.0
547|829634|t256|ol215|31.0||
548|39582|j652|bk713|1.0|41.0|43.0
549|860233|z111|bb988|29.0|36.0|
550|105656|v838|lq096||13.0|39.0
551|396345|r536|ny422||27.0|34.0
552|58441|f436|dt379|31.0|27.0|
553|562694|a962|sf834|||13.0
554|407620|b261|lz946||27.0|22.0
555|991657|n399|kh156|20.0|12.0|25.0
556|984575|i217|su691|||4.0
557|946560|z434|fu215|14.0|1.0|
558|407782|z150|ge282|1.0|7.0|34.0
559|232962|x425|gv646|46.0|10.0|45.0
560|214710|p774|fe748|14.0||
561|447313|z812|yv802|25.0|50.0|10.0
562|417863|i726|ay375||16.0|
563|301187|y157|ef092|47.0|44.0|47.0
564|791783|w518|wk719|33.0||31.0
565|664038|j279|vk911||19.0|45.0
566|62709|u252|eg653|17.0||
567|796512|q814|ck428|26.0||
568|107008|y040|pv639||41.0|
569|138896|a061|bu486|||15.0
570|508528|z012|sk731|35.0||
571|11524|c130|vs861||29.0|1.0
572|977509|k094|ma651|5.0||
573|111616|l901|sp663|26.0|45.0|21.0
574|914802|r605|ua265|48.0|48.0|45.0
575|96445|p774|sf834||22.0|28.0
576|716310|n879|fx860|26.0|25.0|21.0
577|561564|w074|yu023|38.0||
578|794337|f713|zp918|17.0||
579|766582|t566|db311|31.0|17.0|33.0
580|228474|m273|ts953|38.0||42.0
581|332186|r507|xw013|||25.0
582|114483|k174|et715|38.0||
583|806285|n921|oi386|42.0|49.0|32.0
584|231696|d475|xa615|41.0|40.0|40.0
585|216423|r605|pz188|46.0|32.0|16.0
586|14405|u644|tg848||30.0|41.0
587|105590|k174|mu682||23.0|
588|965911|a473|ez908|3.0||
589|95865|d765|mf321|43.0|29.0|
590|995604|n921|kk658|23.0|23.0|
591|642397|n399|fb717||25.0|
592|930445|o545|zw415|17.0||24.0
593|27640|s714|ow481|5.0||
594|653311|z340|zb927|16.0|48.0|
595|345482|v515|mg707|12.0|50.0|44.0
596|949679|u863|pf915||7.0|13.0
597|978276|l218|ix293|9.0|13.0|23.0
598|167390|u252|bb988|12.0|2.0|44.0
599|623408|o742|tl128|50.0|11.0|18.0
600|792602|g463|uy015|47.0|29.0|49.0
601|670598|x841|rg645|12.0|40.0|
602|693524|x295|if065|||3.0
603|452833|t400|hm415||39.0|8.0
604|934144|u509|ny527||2.0|10.0
605|851071|t989|kz620|38.0||
606|852375|i362|it678||23.0|
607|61849|i767|zq933|||44.0
608|157707|q693|pc700|16.0||20.0
609|875903|n921|ym036||27.0|
610|995693|g207|ro183|16.0|49.0|50.0
611|546914|d239|qa882|45.0||
612|908893|z049|ap116|9.0|1.0|32.0
613|623539|n526|co043|50.0|50.0|21.0
614|797570|i958|mf400|47.0|43.0|26.0
615|859848|h938|zs763|4.0|48.0|
616|160236|c982|as138|||47.0
617|788211|y954|ai859|13.0|49.0|22.0
618|332814|g723|yz161|41.0|47.0|
619|304255|z014|gt028|9.0||46.0
620|920719|z613|up072|29.0|8.0|
621|220415|h748|pb239|38.0||22.0
622|33510|o636|am789|16.0||
623|954796|z561|me708|40.0|29.0|28.0
624|487865|v442|pv868||20.0|13.0
625|61430|t581|eb982||29.0|
626|98374|x383|is542|50.0|11.0|12.0
627|181585|w676|yl833||11.0|43.0
628|171545|t611|gf196|39.0|1.0|
629|674374|l785|vg916|28.0|1.0|5.0
630|657650|n399|lp294|5.0|34.0|5.0
631|387269|p880|gp330|14.0||
632|318747|m651|th356|11.0|36.0|44.0
633|389974|i325|ag082|50.0||29.0
634|245598|u224|ap430|21.0|8.0|43.0
635|330660|f661|xc013||46.0|
636|947763|x186|gh972|3.0|2.0|
637|573436|p883|iu434|35.0||44.0
638|462144|l050|go606|34.0|47.0|24.0
639|936385|i958|ln839|21.0||22.0
640|53236|z150|ss867|35.0|49.0|31.0
641|82207|v891|yk602|10.0|1.0|16.0
642|422781|b909|qc954||41.0|
643|191823|q835|pu999||17.0|13.0
644|513097|c244|tn783|||41.0
645|227295|o097|as220||18.0|
646|601333|n750|bl965|5.0||
647|352519|f794|po184|6.0|7.0|
648|695276|k247|gp459||22.0|
649|727169|d128|yk910|27.0|33.0|5.0
650|371400|w888|ab176||14.0|34.0
651|955496|q567|fb717|12.0|19.0|
652|921335|t400|hz125|30.0|37.0|44.0
653|291701|r605|fi449|36.0|3.0|
654|584310|w760|jg760||46.0|
655|880090|r560|og711|8.0|42.0|21.0
656|493827|q139|ve710|39.0|48.0|30.0
657|333139|m137|tu465|||2.0
658|617907|n852|nl008|45.0|19.0|35.0
659|54358|t300|bu486|||21.0
660|609176|g962|ke824|21.0||
661|515188|b403|ks883|11.0|23.0|34.0
662|450311|n001|bm882|40.0|13.0|
663|28221|i671|fm291|5.0|30.0|
664|381153|q139|uf825|36.0|21.0|
665|647727|x864|ae772|13.0|13.0|42.0
666|420797|f744|zl722|39.0|7.0|
667|25842|o132|st778|40.0|1.0|24.0
668|696045|n434|ja000||25.0|
669|182741|g578|pu999|21.0|11.0|28.0
670|689576|s794|ir978|3.0|11.0|6.0
671|775152|c795|sv776||9.0|14.0
672|76542|v891|ag556|49.0|13.0|
673|904721|t165|xv832|21.0|40.0|
674|559951|p581|kr999|39.0|50.0|47.0
675|641895|p970|dt223|34.0|43.0|
676|420778|r809|ux393|32.0|1.0|13.0
677|291924|c982|kg500|45.0|26.0|12.0
678|274221|c580|wb465||14.0|17.0
679|791029|n434|ge282||12.0|9.0
680|63811|p880|uh104|14.0||34.0
681|74234|p003|zs884|44.0|24.0|35.0
682|488649|m651|gm208||7.0|39.0
683|83212|u359|ff188|7.0||
684|955825|k680|oj992|||3.0
